"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"C","C_List04.csv","10","S","V","N",556.5,100
"C","C_List04.csv","10","S","V","Y",704.5,100
"C","C_List04.csv","15","L","H","N",505.5,75
"C","C_List04.csv","15","L","H","Y",554.5,100
"C","C_List04.csv","15","L","V","N",525,87.5
"C","C_List04.csv","15","L","V","Y",512.5,100
"C","C_List04.csv","15","S","H","N",498,62.5
"C","C_List04.csv","15","S","H","Y",541,100
"C","C_List04.csv","15","S","V","N",483.5,75
"C","C_List04.csv","15","S","V","Y",430,87.5
"C","C_List04.csv","16","L","H","N",612,100
"C","C_List04.csv","16","L","H","Y",659,100
"C","C_List04.csv","16","L","V","N",637,87.5
"C","C_List04.csv","16","L","V","Y",570,100
"C","C_List04.csv","16","S","H","N",583,100
"C","C_List04.csv","16","S","H","Y",607,100
"C","C_List04.csv","16","S","V","N",624.5,100
"C","C_List04.csv","16","S","V","Y",607,87.5
"C","C_List04.csv","18","L","H","N",549,100
"C","C_List04.csv","18","L","H","Y",658,87.5
"C","C_List04.csv","18","L","V","N",637,100
"C","C_List04.csv","18","L","V","Y",535,87.5
"C","C_List04.csv","18","S","H","N",548,100
"C","C_List04.csv","18","S","H","Y",488.5,100
"C","C_List04.csv","18","S","V","N",547.5,100
"C","C_List04.csv","18","S","V","Y",521.5,100
"C","C_List04.csv","23","L","H","N",885.5,100
"C","C_List04.csv","23","L","H","Y",803,100
"C","C_List04.csv","23","L","V","N",736,87.5
"C","C_List04.csv","23","L","V","Y",660,62.5
"C","C_List04.csv","23","S","H","N",689,75
"C","C_List04.csv","23","S","H","Y",679,87.5
"C","C_List04.csv","23","S","V","N",597,100
"C","C_List04.csv","23","S","V","Y",671,100
"C","C_List04.csv","24","L","H","N",513.5,100
"C","C_List04.csv","24","L","H","Y",593,87.5
"C","C_List04.csv","24","L","V","N",673,87.5
"C","C_List04.csv","24","L","V","Y",723,100
"C","C_List04.csv","24","S","H","N",712,87.5
"C","C_List04.csv","24","S","H","Y",630,87.5
"C","C_List04.csv","24","S","V","N",588.5,100
"C","C_List04.csv","24","S","V","Y",514,87.5
"C","C_List04.csv","29","L","H","N",771,87.5
"C","C_List04.csv","29","L","H","Y",819.5,100
"C","C_List04.csv","29","L","V","N",577,100
"C","C_List04.csv","29","L","V","Y",761.5,100
"C","C_List04.csv","29","S","H","N",524,87.5
"C","C_List04.csv","29","S","H","Y",766,87.5
"C","C_List04.csv","29","S","V","N",530,87.5
"C","C_List04.csv","29","S","V","Y",750.5,100
"C","C_List04.csv","34","L","H","N",606.5,100
"C","C_List04.csv","34","L","H","Y",561.5,100
"C","C_List04.csv","34","L","V","N",567,100
"C","C_List04.csv","34","L","V","Y",627.5,100
"C","C_List04.csv","34","S","H","N",630,75
"C","C_List04.csv","34","S","H","Y",503,75
"C","C_List04.csv","34","S","V","N",533,62.5
"C","C_List04.csv","34","S","V","Y",649,87.5
"C","C_List04.csv","39","L","H","N",822,87.5
"C","C_List04.csv","39","L","H","Y",893,100
"C","C_List04.csv","39","L","V","N",796,87.5
"C","C_List04.csv","39","L","V","Y",698.5,75
"C","C_List04.csv","39","S","H","N",739,87.5
"C","C_List04.csv","39","S","H","Y",692,100
"C","C_List04.csv","39","S","V","N",794,100
"C","C_List04.csv","39","S","V","Y",655,87.5
"C","C_List04.csv","40","L","H","N",765,100
"C","C_List04.csv","40","L","H","Y",651,87.5
"C","C_List04.csv","40","L","V","N",729,75
"C","C_List04.csv","40","L","V","Y",807,100
"C","C_List04.csv","40","S","H","N",641.5,100
"C","C_List04.csv","40","S","H","Y",746.5,100
"C","C_List04.csv","40","S","V","N",676,87.5
"C","C_List04.csv","40","S","V","Y",651,75
"C","C_List04.csv","45","L","H","N",704,100
"C","C_List04.csv","45","L","H","Y",634.5,100
"C","C_List04.csv","45","L","V","N",741,62.5
"C","C_List04.csv","45","L","V","Y",549,87.5
"C","C_List04.csv","45","S","H","N",607.5,100
"C","C_List04.csv","45","S","H","Y",558.5,75
"C","C_List04.csv","45","S","V","N",619,62.5
"C","C_List04.csv","45","S","V","Y",487.5,75
"C","C_List04.csv","5","L","H","N",434,100
"C","C_List04.csv","5","L","H","Y",561,100
"C","C_List04.csv","5","L","V","N",552.5,100
"C","C_List04.csv","5","L","V","Y",523.5,100
"C","C_List04.csv","5","S","H","N",500,87.5
"C","C_List04.csv","5","S","H","Y",545,100
"C","C_List04.csv","5","S","V","N",500.5,100
"C","C_List04.csv","5","S","V","Y",435.5,100
"D","D_List01.csv","3","L","H","N",585,87.5
"D","D_List01.csv","3","L","H","Y",579,87.5
"D","D_List01.csv","3","L","V","N",620,100
"D","D_List01.csv","3","L","V","Y",587,75
"D","D_List01.csv","3","S","H","N",625,100
"D","D_List01.csv","3","S","H","Y",550.5,75
"D","D_List01.csv","3","S","V","N",569.5,100
"D","D_List01.csv","3","S","V","Y",540,87.5
"D","D_List01.csv","4","L","H","N",563.5,100
"D","D_List01.csv","4","L","H","Y",638,100
"D","D_List01.csv","4","L","V","N",660,100
"D","D_List01.csv","4","L","V","Y",700.5,100
"D","D_List01.csv","4","S","H","N",567.5,100
"D","D_List01.csv","4","S","H","Y",531.5,100
"D","D_List01.csv","4","S","V","N",564.5,100
"D","D_List01.csv","4","S","V","Y",471,87.5
"D","D_List01.csv","9","L","H","N",735,100
"D","D_List01.csv","9","L","H","Y",618.5,100
"D","D_List01.csv","9","L","V","N",660,100
"D","D_List01.csv","9","L","V","Y",742,87.5
"D","D_List01.csv","9","S","H","N",620.5,100
"D","D_List01.csv","9","S","H","Y",646.5,100
"D","D_List01.csv","9","S","V","N",826,100
"D","D_List01.csv","9","S","V","Y",587,87.5
"D","D_List02.csv","10","L","H","N",853,87.5
"D","D_List02.csv","10","L","H","Y",700.5,100
"D","D_List02.csv","10","L","V","N",699,100
"D","D_List02.csv","10","L","V","Y",640.5,100
"D","D_List02.csv","10","S","H","N",650,100
"D","D_List02.csv","10","S","H","Y",718,100
"D","D_List02.csv","10","S","V","N",587,100
"D","D_List02.csv","10","S","V","Y",610,100
"D","D_List02.csv","5","L","H","N",847.5,100
"D","D_List02.csv","5","L","H","Y",874.5,100
"D","D_List02.csv","5","L","V","N",914,100
"D","D_List02.csv","5","L","V","Y",991.5,100
"D","D_List02.csv","5","S","H","N",854,87.5
"D","D_List02.csv","5","S","H","Y",869.5,100
"D","D_List02.csv","5","S","V","N",852,87.5
"D","D_List02.csv","5","S","V","Y",914,100
"D","D_List03.csv","1","L","H","N",502.5,75
"D","D_List03.csv","1","L","H","Y",562.5,100
"D","D_List03.csv","1","L","V","N",509.5,100
"D","D_List03.csv","1","L","V","Y",502,87.5
"D","D_List03.csv","1","S","H","N",505.5,100
"D","D_List03.csv","1","S","H","Y",503.5,75
"D","D_List03.csv","1","S","V","N",526.5,100
"D","D_List03.csv","1","S","V","Y",484,75
"D","D_List03.csv","11","L","H","N",606,100
"D","D_List03.csv","11","L","H","Y",679,100
"D","D_List03.csv","11","L","V","N",656,100
"D","D_List03.csv","11","L","V","Y",667,87.5
"D","D_List03.csv","11","S","H","N",552,87.5
"D","D_List03.csv","11","S","H","Y",616,100
"D","D_List03.csv","11","S","V","N",572,100
"D","D_List03.csv","11","S","V","Y",519.5,75
"D","D_List03.csv","6","L","H","N",582,87.5
"D","D_List03.csv","6","L","H","Y",577,100
"D","D_List03.csv","6","L","V","N",657.5,100
"D","D_List03.csv","6","L","V","Y",635,100
"D","D_List03.csv","6","S","H","N",540,87.5
"D","D_List03.csv","6","S","H","Y",472,87.5
"D","D_List03.csv","6","S","V","N",579,87.5
"D","D_List03.csv","6","S","V","Y",625.5,100
"D","D_List04.csv","2","L","H","N",724,100
"D","D_List04.csv","2","L","H","Y",780,87.5
"D","D_List04.csv","2","L","V","N",773,87.5
"D","D_List04.csv","2","L","V","Y",662,87.5
"D","D_List04.csv","2","S","H","N",675,87.5
"D","D_List04.csv","2","S","H","Y",710,75
"D","D_List04.csv","2","S","V","N",725.5,100
"D","D_List04.csv","2","S","V","Y",651,100
"D","D_List04.csv","7","L","H","N",665.5,100
"D","D_List04.csv","7","L","H","Y",835,100
"D","D_List04.csv","7","L","V","N",989,100
"D","D_List04.csv","7","L","V","Y",702,87.5
"D","D_List04.csv","7","S","H","N",656,87.5
"D","D_List04.csv","7","S","H","Y",679.5,100
"D","D_List04.csv","7","S","V","N",746,87.5
"D","D_List04.csv","7","S","V","Y",627,100
"D","D_List04.csv","8","L","H","N",529,100
"D","D_List04.csv","8","L","H","Y",580,100
"D","D_List04.csv","8","L","V","N",719,75
"D","D_List04.csv","8","L","V","Y",696,87.5
"D","D_List04.csv","8","S","H","N",607.5,100
"D","D_List04.csv","8","S","H","Y",470,87.5
"D","D_List04.csv","8","S","V","N",577,87.5
"D","D_List04.csv","8","S","V","Y",666,87.5
"E","SP_List1","1396603","L","H","N",603.239990234375,50
"E","SP_List1","1396603","L","H","Y",461.72998046875,87.5
"E","SP_List1","1396603","L","V","N",548.445068359375,75
"E","SP_List1","1396603","L","V","Y",508.25244140625,75
"E","SP_List1","1396603","S","H","N",496.1875,75
"E","SP_List1","1396603","S","H","Y",728.574951171875,62.5
"E","SP_List1","1396603","S","V","N",547.682495117188,100
"E","SP_List1","1396603","S","V","Y",538.250122070312,100
"E","SP_List1","1514138","L","H","N",764.614990234375,87.5
"E","SP_List1","1514138","L","H","Y",725.81494140625,100
"E","SP_List1","1514138","L","V","N",679.817504882812,100
"E","SP_List1","1514138","L","V","Y",844.607421875,75
"E","SP_List1","1514138","S","H","N",655.4375,100
"E","SP_List1","1514138","S","H","Y",718.627563476562,100
"E","SP_List1","1514138","S","V","N",651.114990234375,100
"E","SP_List1","1514138","S","V","Y",652.482421875,100
"E","SP_List1","2013973","L","H","N",787.803100585938,100
"E","SP_List1","2013973","L","H","Y",895.742553710938,100
"E","SP_List1","2013973","L","V","N",761.383666992188,100
"E","SP_List1","2013973","L","V","Y",933.458740234375,87.5
"E","SP_List1","2013973","S","H","N",700.817993164062,100
"E","SP_List1","2013973","S","H","Y",682.091186523438,100
"E","SP_List1","2013973","S","V","N",698.894287109375,87.5
"E","SP_List1","2013973","S","V","Y",705.154541015625,100
"E","SP_List1","2041651","L","H","N",849.531005859375,75
"E","SP_List1","2041651","L","H","Y",721.7109375,87.5
"E","SP_List1","2041651","L","V","N",689.5205078125,87.5
"E","SP_List1","2041651","L","V","Y",875.174072265625,87.5
"E","SP_List1","2041651","S","H","N",616.362182617188,100
"E","SP_List1","2041651","S","H","Y",555.812622070312,100
"E","SP_List1","2041651","S","V","N",609.575561523438,100
"E","SP_List1","2041651","S","V","Y",728.582275390625,87.5
"E","SP_List1","2614478","L","H","N",856.574951171875,87.5
"E","SP_List1","2614478","L","H","Y",751.85498046875,87.5
"E","SP_List1","2614478","L","V","N",807.612426757812,100
"E","SP_List1","2614478","L","V","Y",823.917602539062,100
"E","SP_List1","2614478","S","H","N",732.429931640625,100
"E","SP_List1","2614478","S","H","Y",803.530029296875,100
"E","SP_List1","2614478","S","V","N",732.449951171875,100
"E","SP_List1","2614478","S","V","Y",744.484985351562,100
"E","SP_List1","3051308","L","H","N",883.347534179688,100
"E","SP_List1","3051308","L","H","Y",544.519897460938,100
"E","SP_List1","3051308","L","V","N",604.530029296875,100
"E","SP_List1","3051308","L","V","Y",828.970092773438,100
"E","SP_List1","3051308","S","H","N",702.339965820312,100
"E","SP_List1","3051308","S","H","Y",632.474975585938,100
"E","SP_List1","3051308","S","V","N",939.610107421875,100
"E","SP_List1","3051308","S","V","Y",649.242431640625,100
"E","SP_List1","3066829","L","H","N",582.282470703125,100
"E","SP_List1","3066829","L","H","Y",604.5673828125,100
"E","SP_List1","3066829","L","V","N",696.130004882812,75
"E","SP_List1","3066829","L","V","Y",579.324951171875,100
"E","SP_List1","3066829","S","H","N",576.942504882812,100
"E","SP_List1","3066829","S","H","Y",609.695068359375,87.5
"E","SP_List1","3066829","S","V","N",561.300048828125,100
"E","SP_List1","3066829","S","V","Y",519.987426757812,100
"E","SP_List1","3477624","L","H","N",652.954956054688,100
"E","SP_List1","3477624","L","H","Y",613.750122070312,100
"E","SP_List1","3477624","L","V","N",693.009887695312,100
"E","SP_List1","3477624","L","V","Y",723.757446289062,100
"E","SP_List1","3477624","S","H","N",572.130004882812,100
"E","SP_List1","3477624","S","H","Y",649.472534179688,100
"E","SP_List1","3477624","S","V","N",543.33251953125,100
"E","SP_List1","3477624","S","V","Y",580.950073242188,100
"E","SP_List1","3540214","L","H","N",791.414916992188,100
"E","SP_List1","3540214","L","H","Y",906.277465820312,100
"E","SP_List1","3540214","L","V","N",862.947509765625,75
"E","SP_List1","3540214","L","V","Y",848.81494140625,87.5
