"Lang","List","ID","Size","Orientation","Match","RT","ACC"
"English","SP_List1","8383650","L","V","Y",617.52001953125,87.5
"English","SP_List1","8383650","S","H","N",639.589965820312,100
"English","SP_List1","8383650","S","H","Y",628.077392578125,100
"English","SP_List1","8383650","S","V","N",706.322509765625,100
"English","SP_List1","8383650","S","V","Y",735.947509765625,100
"English","SP_List1","8474767","L","H","N",725.475463867188,100
"English","SP_List1","8474767","L","H","Y",832.970947265625,100
"English","SP_List1","8474767","L","V","N",760.25830078125,100
"English","SP_List1","8474767","L","V","Y",703.185913085938,100
"English","SP_List1","8474767","S","H","N",579.47802734375,87.5
"English","SP_List1","8474767","S","H","Y",601.191650390625,100
"English","SP_List1","8474767","S","V","N",588.335205078125,100
"English","SP_List1","8474767","S","V","Y",572.589599609375,100
"english","SP_List1","8579206","L","H","N",792.0048828125,62.5
"english","SP_List1","8579206","L","H","Y",819,100
"english","SP_List1","8579206","L","V","N",859.0048828125,87.5
"english","SP_List1","8579206","L","V","Y",718.5,100
"english","SP_List1","8579206","S","H","N",721,87.5
"english","SP_List1","8579206","S","H","Y",682,87.5
"english","SP_List1","8579206","S","V","N",651.00244140625,100
"english","SP_List1","8579206","S","V","Y",686.99755859375,75
"english","SP_List1","969922","L","H","N",592.809692382812,100
"english","SP_List1","969922","L","H","Y",534.092651367188,100
"english","SP_List1","969922","L","V","N",632.554931640625,100
"english","SP_List1","969922","L","V","Y",499.14013671875,87.5
"english","SP_List1","969922","S","H","N",468.905029296875,87.5
"english","SP_List1","969922","S","H","Y",523.850341796875,100
"english","SP_List1","969922","S","V","N",532.04541015625,87.5
"english","SP_List1","969922","S","V","Y",481.94482421875,87.5
"English","SP_List2","1538360","L","H","N",987.23486328125,87.5
"English","SP_List2","1538360","L","H","Y",768.774658203125,87.5
"English","SP_List2","1538360","L","V","N",753.24267578125,100
"English","SP_List2","1538360","L","V","Y",684.397338867188,100
"English","SP_List2","1538360","S","H","N",750.39013671875,100
"English","SP_List2","1538360","S","H","Y",583.830078125,100
"English","SP_List2","1538360","S","V","N",670.09765625,100
"English","SP_List2","1538360","S","V","Y",678.329956054688,100
"English","SP_List2","1912345","L","H","N",768.9951171875,87.5
"English","SP_List2","1912345","L","H","Y",701.0048828125,87.5
"English","SP_List2","1912345","L","V","N",801.5,100
"English","SP_List2","1912345","L","V","Y",702,87.5
"English","SP_List2","1912345","S","H","N",775.99755859375,100
"English","SP_List2","1912345","S","H","Y",618.0048828125,87.5
"English","SP_List2","1912345","S","V","N",751.99755859375,75
"English","SP_List2","1912345","S","V","Y",679.9951171875,87.5
"english","SP_List2","1992668","L","H","N",697.56494140625,87.5
"english","SP_List2","1992668","L","H","Y",593.007568359375,100
"english","SP_List2","1992668","L","V","N",622.322509765625,100
"english","SP_List2","1992668","L","V","Y",573.0849609375,100
"english","SP_List2","1992668","S","H","N",587.137451171875,100
"english","SP_List2","1992668","S","H","Y",512.287353515625,100
"english","SP_List2","1992668","S","V","N",588.840087890625,87.5
"english","SP_List2","1992668","S","V","Y",690.27490234375,100
"english","SP_List2","2591558","L","H","N",853.5,100
"english","SP_List2","2591558","L","H","Y",923,87.5
"english","SP_List2","2591558","L","V","N",957,87.5
"english","SP_List2","2591558","L","V","Y",894,100
"english","SP_List2","2591558","S","H","N",829.5,100
"english","SP_List2","2591558","S","H","Y",793,87.5
"english","SP_List2","2591558","S","V","N",821.50244140625,100
"english","SP_List2","2591558","S","V","Y",848,87.5
"English","SP_List2","2638089","L","H","N",703.0400390625,87.5
"English","SP_List2","2638089","L","H","Y",550.494873046875,100
"English","SP_List2","2638089","L","V","N",767.81494140625,100
"English","SP_List2","2638089","L","V","Y",519.940063476562,75
"English","SP_List2","2638089","S","H","N",474.477416992188,100
"English","SP_List2","2638089","S","H","Y",529.164794921875,87.5
"English","SP_List2","2638089","S","V","N",459.50244140625,100
"English","SP_List2","2638089","S","V","Y",490.030029296875,87.5
"English","SP_List2","2641664","L","H","N",1015.82495117188,75
"English","SP_List2","2641664","L","H","Y",727.074462890625,100
"English","SP_List2","2641664","L","V","N",986.054931640625,87.5
"English","SP_List2","2641664","L","V","Y",715.410522460938,100
"English","SP_List2","2641664","S","H","N",657.370483398438,75
"English","SP_List2","2641664","S","H","Y",662.706298828125,100
"English","SP_List2","2641664","S","V","N",778.806396484375,87.5
"English","SP_List2","2641664","S","V","Y",718.863403320312,100
"English","SP_List2","2716281","L","H","N",610.380004882812,100
"English","SP_List2","2716281","L","H","Y",690.47998046875,100
"English","SP_List2","2716281","L","V","N",667.565185546875,87.5
"English","SP_List2","2716281","L","V","Y",626.66748046875,100
"English","SP_List2","2716281","S","H","N",555.329833984375,87.5
"English","SP_List2","2716281","S","H","Y",516.737426757812,100
"English","SP_List2","2716281","S","V","N",547.965087890625,100
"English","SP_List2","2716281","S","V","Y",540.527587890625,100
"English","SP_List2","3081825","L","H","N",756.49755859375,100
"English","SP_List2","3081825","L","H","Y",631.5,75
"English","SP_List2","3081825","L","V","N",687,87.5
"English","SP_List2","3081825","L","V","Y",725.5,75
"English","SP_List2","3081825","S","H","N",718,100
"English","SP_List2","3081825","S","H","Y",593,87.5
"English","SP_List2","3081825","S","V","N",702.5,100
"English","SP_List2","3081825","S","V","Y",654.99755859375,100
"english","SP_List2","3086911","L","H","N",818.9951171875,87.5
"english","SP_List2","3086911","L","H","Y",810,100
"english","SP_List2","3086911","L","V","N",721.5,100
"english","SP_List2","3086911","L","V","Y",859.5,100
"english","SP_List2","3086911","S","H","N",824,100
"english","SP_List2","3086911","S","H","Y",687.00244140625,100
"english","SP_List2","3086911","S","V","N",626.0048828125,87.5
"english","SP_List2","3086911","S","V","Y",692,100
"english","SP_List2","3422009","L","H","N",562.50244140625,75
"english","SP_List2","3422009","L","H","Y",683,87.5
"english","SP_List2","3422009","L","V","N",561.50244140625,100
"english","SP_List2","3422009","L","V","Y",700.50244140625,75
"english","SP_List2","3422009","S","H","N",603.9951171875,87.5
"english","SP_List2","3422009","S","H","Y",569,87.5
"english","SP_List2","3422009","S","V","N",571,87.5
"english","SP_List2","3422009","S","V","Y",666,87.5
"english","SP_List2","3582108","L","H","N",638.25244140625,100
"english","SP_List2","3582108","L","H","Y",756.155029296875,87.5
"english","SP_List2","3582108","L","V","N",756.087646484375,100
"english","SP_List2","3582108","L","V","Y",635.155029296875,87.5
"english","SP_List2","3582108","S","H","N",592.66748046875,100
"english","SP_List2","3582108","S","H","Y",576.969970703125,87.5
"english","SP_List2","3582108","S","V","N",486.39990234375,62.5
"english","SP_List2","3582108","S","V","Y",631.022583007812,75
"english","SP_List2","371008","L","H","N",595.00244140625,100
"english","SP_List2","371008","L","H","Y",605.0048828125,87.5
"english","SP_List2","371008","L","V","N",604,62.5
"english","SP_List2","371008","L","V","Y",588,100
"english","SP_List2","371008","S","H","N",642,100
"english","SP_List2","371008","S","H","Y",632,100
"english","SP_List2","371008","S","V","N",636.50244140625,100
"english","SP_List2","371008","S","V","Y",549.5,100
"English","SP_List2","3927406","L","H","N",830,100
"English","SP_List2","3927406","L","H","Y",697,100
"English","SP_List2","3927406","L","V","N",878.9951171875,87.5
