"Lang","List","ID","Size","Match","RT","ACC"
"English","SP_List2","5879769","L","N",829.48486328125,87.5
"English","SP_List2","5879769","L","Y",815.72998046875,100
"English","SP_List2","5879769","S","N",731.8798828125,100
"English","SP_List2","5879769","S","Y",736.699951171875,93.75
"english","SP_List2","6539081","L","N",666.183227539062,100
"english","SP_List2","6539081","L","Y",629.4794921875,100
"english","SP_List2","6539081","S","N",512.697998046875,93.75
"english","SP_List2","6539081","S","Y",600.495361328125,100
"English","SP_List2","6590967","L","N",579.199951171875,81.25
"English","SP_List2","6590967","L","Y",541.150146484375,100
"English","SP_List2","6590967","S","N",538.869873046875,100
"English","SP_List2","6590967","S","Y",532.71484375,93.75
"English","SP_List2","6807972","L","N",552.5,100
"English","SP_List2","6807972","L","Y",590,93.75
"English","SP_List2","6807972","S","N",566,100
"English","SP_List2","6807972","S","Y",508.99755859375,100
"english","SP_List2","778602","L","N",668.040161132812,87.5
"english","SP_List2","778602","L","Y",617.027587890625,87.5
"english","SP_List2","778602","S","N",574.50244140625,100
"english","SP_List2","778602","S","Y",580.650024414062,87.5
"English","SP_List2","7892798","L","N",635.757446289062,87.5
"English","SP_List2","7892798","L","Y",642.454833984375,93.75
"English","SP_List2","7892798","S","N",606.017333984375,87.5
"English","SP_List2","7892798","S","Y",570.929931640625,93.75
"English","SP_List2","7957756","L","N",607.0048828125,93.75
"English","SP_List2","7957756","L","Y",635.99755859375,62.5
"English","SP_List2","7957756","S","N",538,93.75
"English","SP_List2","7957756","S","Y",609.00244140625,87.5
"English","SP_List2","8267729","L","N",614.135009765625,93.75
"English","SP_List2","8267729","L","Y",694.405029296875,100
"English","SP_List2","8267729","S","N",643.2724609375,100
"English","SP_List2","8267729","S","Y",646.897583007812,100
"English","SP_List2","8413180","L","N",705.00244140625,100
"English","SP_List2","8413180","L","Y",655,93.75
"English","SP_List2","8413180","S","N",580,93.75
"English","SP_List2","8413180","S","Y",607,100
"english","SP_List2","9132668","L","N",661.050048828125,93.75
"english","SP_List2","9132668","L","Y",642.5751953125,93.75
"english","SP_List2","9132668","S","N",537.574951171875,87.5
"english","SP_List2","9132668","S","Y",566.522583007812,100
"English","SP_List2","9567626","L","N",729.00244140625,100
"English","SP_List2","9567626","L","Y",674.49755859375,100
"English","SP_List2","9567626","S","N",661,93.75
"English","SP_List2","9567626","S","Y",618,93.75
"English","SP_List2","9917421","L","N",835.10498046875,93.75
"English","SP_List2","9917421","L","Y",714.702514648438,100
"English","SP_List2","9917421","S","N",750.045166015625,93.75
"English","SP_List2","9917421","S","Y",615.300048828125,93.75
"English","SP_List3","1075157","L","N",620.994995117188,100
"English","SP_List3","1075157","L","Y",567.4150390625,93.75
"English","SP_List3","1075157","S","N",587.282470703125,87.5
"English","SP_List3","1075157","S","Y",613.002563476562,100
"English","SP_List3","1089293","L","N",691.307495117188,100
"English","SP_List3","1089293","L","Y",707.080078125,93.75
"English","SP_List3","1089293","S","N",617.859985351562,100
"English","SP_List3","1089293","S","Y",605.907592773438,100
"english","SP_List3","1192455","L","N",872.10498046875,93.75
"english","SP_List3","1192455","L","Y",752.72998046875,93.75
"english","SP_List3","1192455","S","N",694.467529296875,75
"english","SP_List3","1192455","S","Y",601.670043945312,87.5
"english","SP_List3","155821","L","N",1037.54260253906,87.5
"english","SP_List3","155821","L","Y",1108.90490722656,87.5
"english","SP_List3","155821","S","N",1021.43505859375,93.75
"english","SP_List3","155821","S","Y",1027.74243164062,87.5
"English","SP_List3","2081409","L","N",790.02978515625,93.75
"English","SP_List3","2081409","L","Y",611.715087890625,81.25
