"Lang","Gender","Age","ID","List","Trial_Seq","Size","Orien","Match","Item_index","sentence_read_time","Target_response_time","correct","Comprehension_correct","datetime"
"english","Female","53","155821","SP_List3","3","F","F","F","117","2110.4599609375","1355.190185546875",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","128","F","F","F","118","961.9951171875","1028.244873046875",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","77","F","F","F","119","1028.635009765625","1169.945068359375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","126","F","F","F","120","765.239990234375","809.06005859375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","111","F","F","F","121","1231.159912109375","858",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","63","F","F","F","122","2592.034912109375","959.73486328125",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","1","F","F","F","123","2938.955078125","1255.14501953125",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","33","F","F","F","124","1077.775146484375","922.704833984375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","51","F","F","F","125","3700.849853515625","1124.5498046875",1,0,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","19","F","F","F","126","1943.169921875","908.81005859375",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","24","F","F","F","127","1679.780029296875","1151.2998046875",1,1,"2016-12-07 14:54:50"
"english","Female","53","155821","SP_List3","117","F","F","F","128","960.800048828125","909.5",1,0,"2016-12-07 14:54:50"
"english","Male","33","178408","SP_List4","6","L","V","Y","1","1479.655029296875","",0,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","109","L","V","Y","2","799.215087890625","649.9599609375",0,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","89","L","V","Y","3","1003.195068359375","582.46484375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","29","L","V","Y","4","2155.255126953125","680.909912109375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","121","L","V","Y","5","1071.7900390625","782.014892578125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","17","L","V","Y","6","2744.530029296875","954.030029296875",0,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","24","L","V","Y","7","1996.155029296875","675.344970703125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","92","L","V","Y","8","1035.53515625","619.730224609375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","99","L","V","N","9","782.294921875","418.55517578125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","64","L","V","N","10","1302.5849609375","712.925048828125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","107","L","V","N","11","968.6298828125","598.28515625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","112","L","V","N","12","848.7900390625","735.905029296875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","84","L","V","N","13","1092.090087890625","569.625",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","101","L","V","N","14","1604.114990234375","635.699951171875",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","83","L","V","N","15","1336.619873046875","785.695068359375",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","70","L","V","N","16","1745.580078125","943.764892578125",1,NA,"2016-12-07 15:16:18"
"english","Male","33","178408","SP_List4","44","L","H","Y","17","1829.675048828125","787.46484375",1,NA,"2016-12-07 15:16:18"
