"","List","ID","Size","Match","RT","ACC"
"291","List3","pilot1027073","S","N",507.232543945312,93.3333333333333
"292","List3","pilot1027073","S","Y",654.699951171875,94.1176470588235
"293","List3","pilot1027074","L","N",758.08251953125,70.5882352941177
"294","List3","pilot1027074","L","Y",620.280029296875,100
"295","List3","pilot1027074","S","N",536.47021484375,92.8571428571429
"296","List3","pilot1027074","S","Y",577.130126953125,94.4444444444444
"297","List3","pilot1027075","L","N",683.702514648438,93.3333333333333
"298","List3","pilot1027075","L","Y",620.579833984375,100
"299","List3","pilot1027075","S","N",596.949951171875,100
"300","List3","pilot1027075","S","Y",499.02001953125,100
"301","List4","pilot1027076","L","N",576.85498046875,92.8571428571429
"302","List4","pilot1027076","L","Y",689.170166015625,83.3333333333333
"303","List4","pilot1027076","S","N",577.99755859375,100
"304","List4","pilot1027076","S","Y",542.33984375,100
"305","List4","pilot1027077","L","N",645.0849609375,78.5714285714286
"306","List4","pilot1027077","L","Y",584.1875,77.7777777777778
"307","List4","pilot1027077","S","N",583.875,93.75
"308","List4","pilot1027077","S","Y",575.330078125,93.75
"309","List4","pilot1027078","L","N",676.955444335938,93.3333333333333
"310","List4","pilot1027078","L","Y",535.072509765625,94.1176470588235
"311","List4","pilot1027078","S","N",549.065063476562,100
"312","List4","pilot1027078","S","Y",603.3525390625,87.5
"313","List4","pilot1027079","L","N",639,94.4444444444444
"314","List4","pilot1027079","L","Y",576.737548828125,100
"315","List4","pilot1027079","S","N",653.05126953125,87.5
"316","List4","pilot1027079","S","Y",626.202514648438,100
"317","List4","pilot1027080","L","N",637.969970703125,88.8888888888889
"318","List4","pilot1027080","L","Y",584.402465820312,100
"319","List4","pilot1027080","S","N",513.494995117188,100
"320","List4","pilot1027080","S","Y",568.300048828125,92.8571428571429
"321","List4","pilot1027081","L","N",615.877563476562,94.1176470588235
"322","List4","pilot1027081","L","Y",644.69482421875,100
"323","List4","pilot1027081","S","N",550.014892578125,94.4444444444444
"324","List4","pilot1027081","S","Y",561.1474609375,100
"325","List4","pilot1027082","L","N",600.692626953125,82.3529411764706
"326","List4","pilot1027082","L","Y",681.860107421875,86.6666666666667
"327","List4","pilot1027082","S","N",527.753662109375,93.75
"328","List4","pilot1027082","S","Y",641,93.75
"329","List4","pilot1027083","L","N",702.965087890625,86.6666666666667
"330","List4","pilot1027083","L","Y",681.449951171875,100
"331","List4","pilot1027083","S","N",580.56005859375,100
"332","List4","pilot1027083","S","Y",609.4599609375,93.75
"333","List4","pilot1027084","L","N",580.29248046875,93.3333333333333
"334","List4","pilot1027084","L","Y",652.8203125,88.2352941176471
"335","List4","pilot1027084","S","N",597.530029296875,86.6666666666667
"336","List4","pilot1027084","S","Y",494.724975585938,94.1176470588235
"337","List4","pilot1027085","L","N",621.699951171875,100
"338","List4","pilot1027085","L","Y",655.14599609375,94.1176470588235
"339","List4","pilot1027085","S","N",545.717529296875,93.3333333333333
"340","List4","pilot1027085","S","Y",505.572509765625,94.1176470588235
"341","List4","pilot1027086","L","N",614.536376953125,80
"342","List4","pilot1027086","L","Y",641.56494140625,88.2352941176471
"343","List4","pilot1027086","S","N",586.22509765625,93.75
"344","List4","pilot1027086","S","Y",602.880004882812,87.5
"345","List4","pilot1027087","L","N",596.0048828125,92.8571428571429
"346","List4","pilot1027087","L","Y",671,94.4444444444444
"347","List4","pilot1027087","S","N",576.0048828125,93.75
"348","List4","pilot1027087","S","Y",549.904418945312,87.5
"349","List4","pilot1027088","L","N",654.364990234375,93.75
"350","List4","pilot1027088","L","Y",635.160766601562,87.5
"351","List4","pilot1027088","S","N",550.892456054688,100
"352","List4","pilot1027088","S","Y",594.71240234375,87.5
"353","List4","pilot1027089","L","N",649.167358398438,88.8888888888889
"354","List4","pilot1027089","L","Y",746,92.8571428571429
"355","List4","pilot1027089","S","N",620,75
"356","List4","pilot1027089","S","Y",549.900146484375,93.75
"357","List4","pilot1027090","L","N",582.974853515625,81.25
"358","List4","pilot1027090","L","Y",621.9951171875,93.75
"359","List4","pilot1027090","S","N",558.579956054688,87.5
"360","List4","pilot1027090","S","Y",640.532592773438,100
"361","List4","pilot1027091","L","N",702.46240234375,82.3529411764706
"362","List4","pilot1027091","L","Y",547.2548828125,93.3333333333333
"363","List4","pilot1027091","S","N",523.255126953125,93.75
"364","List4","pilot1027091","S","Y",608.6650390625,93.75
"365","List4","pilot1027092","L","N",547,88.2352941176471
"366","List4","pilot1027092","L","Y",620.72998046875,93.3333333333333
"367","List4","pilot1027092","S","N",666.949951171875,100
"368","List4","pilot1027092","S","Y",625.604370117188,100
"369","List4","pilot1027093","L","N",793.757568359375,94.1176470588235
"370","List4","pilot1027093","L","Y",603.444946289062,93.3333333333333
"371","List4","pilot1027093","S","N",588.20751953125,100
"372","List4","pilot1027093","S","Y",554.844970703125,92.8571428571429
"373","List4","pilot1027094","L","N",637.669921875,93.75
"374","List4","pilot1027094","L","Y",613.114990234375,81.25
"375","List4","pilot1027094","S","N",610.017578125,94.1176470588235
"376","List4","pilot1027094","S","Y",606.0048828125,100
"377","List4","pilot1027095","L","N",630.210083007812,85.7142857142857
